EDIF	LATITUD	LONGITUD	PLANTAS	HUELLA(M2)	CONFIG	OBS
ALCALA	9.01636	-79.46341	25		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
ALLURE AT THE PARK	8.97575	-79.52886111	51		2	SE ENCUENTRA N BELLA VISTA. EQUIPO EN BASE Y AZOTEA
ALTAMAR DEL ESTE	9.00809	-79.47481	49		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
ARBOLEDA	9.004319444	-79.506175	43		2	SE ENCUENTRA EN PARQUE LEFEVRE. EQUIPO EN BASE Y AZOTEA
ATRIUM						
BAHIA DEL GOLF						
BAHIA RESORT						
BAYFRONT	8.97586	-79.52068	30		2	SE ENCUENTRA EN AV. BALBOA/MARBELLA. EQUIPO EN BASE Y AZOTEA
BELLA VISTA GARDENS	8.979189	-79.530569	18		2	SE ENCUENTRA EN PEREJIL. EQUIPO EN BASE Y AZOTEA
BELLE VIEW TOWER						
BELLEVIEW TOWER						
BREEZE	9.016416	-79.467512	38		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
BRISTOL HOTEL	8.980683333	-79.52500833	28		2	SE ENCUENTRA EN MARBELLA. EQUIPO EN BASE Y AZOTEA
C.E PIJAO	9.013827778	-79.47715278	20		1	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE
CACEA RS						PLANO FÍSICO. NO EXISTE DATA EN CUADRO DE EDIFICIOS
CAJA DE AHORROS	8.990408333	-79.52199167	16		1	SE ENCUENTRA EN VÍA ESPAÑA. EQUIPO EN BASE
CAMPEON	8.426341667	-82.42657222	1		1	APARECE COMO MALL EL CAMPEÓN. SE ENCUENTRA EN DAVID. NO APARECE NÚMERO DE PLANTAS
CANGREJO BAY						NO EXISTE DATA EN CUADRO DE EDIFICIOS
CASA BONITA	8.899513	-79.573763	27		2	SE ENCUENTRA EN KOBE
CASADELPORTO						
CD TITANIUM						EN DATA HAY UNO QUE SE LLAMA TITANIUM TOWER PERO HAY QUE VER LOS PLANOS
CENTRAL PARK						
CENTURY PLAZA						NO EXISTE DATA EN CUADRO DE EDIFICIOS
CENTURY TOWER	9.0031	-79.53245	26		2	SE ENCUENTRA EN TUMBA MUERTO. EQUIPO EN BASE Y AZOTEA
CHIRIQUI MALL	8.43094	-82.45827	1		1	SE ENCUENTRA EN C. INTERAMERICANA DAVID. EQUIPO EN BASE
CIDECYT						
CITY TOWER						
CO HIGH VIEW						HAY UNO EN LA DATA QUE SE LLAMA HIGHLAND VIEW
CONDADO BUSINESS CENTER	9.026197	-79.523011		500	1	SE ENCUENTRA EN CONDADO DEL REY. EQUIPO EN BASE
CONSTELATION						
CORONADO BAY	8.52611	-79.89169	32		2	SE ENCUENTRA EN P. CORONADO / SAN CARLOS. EQUIPO EN BASE Y AZOTEA
CORONADO GOLF	8.540569444	-79.88822222	35		2	SE ENCUENTRA EN PLAYA CORONADO. EQUIPO EN BASE Y AZOTEA
COSTA VIEW	9.013517	-79.47692	23		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
CRETA						
CRYSTAL BLUE	9.004891667	-79.51220833	20		1	SE ENCUENTRA EN VÍA ESPAÑA. EQUIPO EN BASE
CUATRO ISLAS	9.030126	-79.48939	22		2	SE ENCUENTRA EN RÍO ABAJO
DELUNA	9.014969	-79.533891	22		2	SE ENCUENTRA EN VILLA DE LAS FUENTES. EQUIPO EN BASE Y AZOTEA
DENOVO						
DESTINY	8.96706	-79.53346	54		2	SE ENCUENTRA EN LA EXPOSICIÓN. EQUIPO EN BASE Y AZOTEA
DOS MARES VIEW T200	9.00356	-79.53441	23		2	SE ENCUENTRA EN BARRIO DOS MARES. EQUIPO EN BASE Y AZOTEA
DUPONT	8.976002778	-79.508375	54		2	SE ENCUENTRA EN PUNTA PACÍFICA. EQUIPO EN BASE Y AZOTEA
ECCO TOWER	9.00464	-79.51589	26		2	SE ENCUENTRA LA SABANA-PUEBLO NUEVO. EQUIPO EN BASE Y AZOTEA
EDIFICIO QUADRAT	8.99559	-79.50711	38		2	SE ENCUENTRA EN SAN FRANCISCO
EDIFICIO VIVENDI TORRE 200	8.99528	-79.53072	27		2	SE ENCUENTRA EN LOMA LA PAVA/EDISONL
EDIFICIO VIVENDI TORRE 300	8.995154	-79.530406	32		2	SE ENCUENTRA EN EDISON PARK
EDIFICIO VIVENDI TORRE 400	8.994767	-79.52996	34		2	SE ENCUENTRA EN EDISON PARK 
EI MARE T300	8.99455	-79.5328	16		1	SE ENCUENTRA EN EDISON PARK 
EI MARE T400	8.99466	-79.53275	16		2	SE ENCUENTRA EN EDISON PARK 
ELEMENT	8.96639	-79.53412	33		2	SE ENCUENTRA EN AV. BALBOA
ELITE 400						EN LA DATA HAY UNO EDIFICIO LLAMADO Pacific Hills Torre 400 (Elite 400)
GALERIA 1	8.98295	-79.52029	23		2	SE ENCUENTRA EN OBARRIO - CALLE 54
GOLDEN PALACE	8.97281	-79.51671	36		2	SE ENCUENTRA EN PUNTA PAITILLA
GOLDEN TOWER						
GOLDEN TOWERS						
GRAN PARK HOTEL						
GYMNASIUM CANAL PANAMA						
H2O	8.96594	-79.53445	34		2	SE ENCUENTRA EN AV. BALBOA. H2O IN THE OCEAN
HARMONY TOWER						
HILL TOWER						
HOSPITAL MATERNO INFANTIL	8.4313	-82.45552	11		1	SE ENCUENTRA EN C. INTERAMERICANA/DAVID. HOSPITAL J.D. DE OBALDÍA
HOTEL AQA						
HOTEL HOWARD JOHNSON						
HOTEL MEDITERRANEAN						
JOY						
KOLOSAL						
KUBIC	8.990079	-79.525249	22		2	SE ENCUENTRA EN EL CANGREJO
LA COSTA	9.01608	-79.46494	35		2	SE ENCUENTRA EN COSTA DEL ESTE. LA COSTA TOWER
LA TORRAZA						
LAS HORTENSIAS	9.00761	-79.507798	15		1	SE ENCUENTRA EN PUEBLO NUEVO. EQUIPO EN BASE
